actor,nummovies,Wavgprofit,GenreName
"Chris Pratt",2,294638.008027344,Comedy
"Kate Hudson",2,294638.008027344,Comedy
"Jane Fonda",2,281349.554012154,Comedy
"Candice Bergen",2,281349.554012154,Comedy
"Mary Steenburgen",2,281349.554012154,Comedy
"Olivia Colman",2,273616.460729964,Comedy
"Rachel Weisz",2,273616.460729964,Comedy
"Emma Delves",2,273616.460729964,Comedy
"Faye Daveney",2,273616.460729964,Comedy
"Susan Sarandon",2,264386.22627693,Comedy
"Kathy Bates",2,264386.22627693,Comedy
"Allison Janney",2,264386.22627693,Comedy
"Jim Cummings",2,263486.686903728,Comedy
"Nikita Hopkins",2,263486.686903728,Comedy
"Ken Sansom",2,263486.686903728,Comedy
"John Fiedler",2,263486.686903728,Comedy
"Gustavo Escobar",2,248221.988134728,Comedy
"Mark Wahlberg",2,248221.988134728,Comedy
"Rose Byrne",2,248221.988134728,Comedy
"Isabela Moner",2,248221.988134728,Comedy
"Ana de la Reguera",2,232859.621591172,Comedy
"Héctor Jiménez",2,232859.621591172,Comedy
"Darius Rose",2,232859.621591172,Comedy
"Ryan Whitney Newman",2,229298.75127822,Comedy
"Steve Buscemi",2,229298.75127822,Comedy
"Mitchel Musso",2,229298.75127822,Comedy
"Sophie Monk",2,225419.15100999,Comedy
"Eddie Griffin",2,225419.15100999,Comedy
"Alyson Hannigan",2,225419.15100999,Comedy
"Adam Campbell",2,225419.15100999,Comedy
"Mike Epps",4,219542.570137498,Comedy
"Steve Zahn",2,214374.678648066,Comedy
"Rosanna Arquette",2,212899.094560602,Comedy
"Michael Clarke Duncan",2,212899.094560602,Comedy
"Kevin Smith",2,211404.808059708,Comedy
"Chris Evans",2,211404.808059708,Comedy
"Sarah Michelle Gellar",2,211404.808059708,Comedy
Mako,2,211404.808059708,Comedy
"Lennie Loftin",4,203964.053863754,Comedy
"Woody Allen",4,195703.813111284,Comedy
"Devon Bostick",2,192716.844449964,Comedy
"Suraj Sharma",2,190960.198209738,Comedy
"Jessica Rothe",2,190960.198209738,Comedy
"Israel Broussard",2,190960.198209738,Comedy
"Phi Vu",2,190960.198209738,Comedy
"Amanda Seyfried",2,180444.684078828,Comedy
"Marcia DeBonis",2,180444.684078828,Comedy
"Gael García Bernal",2,180444.684078828,Comedy
"Giordano Formenti",2,180444.684078828,Comedy
"Harry Connick Jr.",2,178300.954974,Comedy
"Gena Rowlands",2,178300.954974,Comedy
"Mae Whitman",2,178300.954974,Comedy
"Taraji P. Henson",2,172705.466232018,Comedy
"Kristen Ledlow",2,172705.466232018,Comedy
"Josh Brener",2,172705.466232018,Comedy
"Kellan Lutz",2,172705.466232018,Comedy
"Mimi Rogers",2,171916.836841734,Comedy
"Elizabeth Hurley",2,171916.836841734,Comedy
"Michael York",2,171916.836841734,Comedy
"Chris Elliott",2,171117.314722962,Comedy
"Mark Webber",2,171117.314722962,Comedy
"Jean Smart",2,171117.314722962,Comedy
"Schuyler Fisk",2,171117.314722962,Comedy
"America Ferrera",4,170800.502640278,Comedy
"Dolly Parton",2,170247.799557222,Comedy
"Dom DeLuise",2,170247.799557222,Comedy
"Charles Durning",4,167057.312991404,Comedy
"Michael J. Fox",2,159169.476,Comedy
"Geena Davis",2,159169.476,Comedy
"Hugh Laurie",2,159169.476,Comedy
"Jonathan Lipnicki",2,159169.476,Comedy
"Steve Harris",2,155565.173181336,Comedy
"Tyler Perry",2,155565.173181336,Comedy
"Shemar Moore",2,155565.173181336,Comedy
"Jason Isaacs",2,153735.65500275,Comedy
"Debi Mazar",2,153735.65500275,Comedy
"Jackie Chan",2,153735.65500275,Comedy
"Alden Ehrenreich",2,145884.63790008,Comedy
"Ralph Fiennes",2,145884.63790008,Comedy
"Josh Brolin",2,145884.63790008,Comedy
"George Clooney",2,145884.63790008,Comedy
"Robert Carradine",2,140257.56439773,Comedy
"Hilary Duff",2,140257.56439773,Comedy
"Adam Lamberg",2,140257.56439773,Comedy
"Hallie Todd",2,140257.56439773,Comedy
"Alex O'Loughlin",2,139381.177262874,Comedy
"Michaela Watkins",2,139381.177262874,Comedy
"Eric Christian Olsen",2,139381.177262874,Comedy
"Jennifer Lopez",2,139381.177262874,Comedy
