actor,nummovies,Wavgrating,GenreName
"Jennifer Albano",2,0.102076077,Comedy
"Alden Ehrenreich",2,0.102076077,Comedy
"Linda Hunt",2,0.102076077,Comedy
Mako,2,0.102076077,Comedy
"Kellan Lutz",2,0.102076077,Comedy
"Jenni Blong",2,0.102076077,Comedy
"Ralph Fiennes",2,0.102076077,Comedy
"Ray Liotta",2,0.102076077,Comedy
"Kevin Smith",2,0.102076077,Comedy
"Jason Lee",2,0.102076077,Comedy
JoJo,2,0.102076077,Comedy
"Jake T. Austin",2,0.102076077,Comedy
"Taraji P. Henson",2,0.102076077,Comedy
"Ben Affleck",2,0.102076077,Comedy
"Sara Paxton",2,0.102076077,Comedy
"Josh Brolin",2,0.102076077,Comedy
"Arnold Schwarzenegger",2,0.102076077,Comedy
"Katie Holmes",2,0.100345974,Comedy
"Robert Urich",2,0.100345974,Comedy
"M.C. Gainey",2,0.100345974,Comedy
"Marc Blucas",2,0.100345974,Comedy
"Mary Crosby",2,0.100345974,Comedy
"Paul Soter",2,0.100345974,Comedy
"Robert Ben Garant",2,0.100345974,Comedy
Amerie,2,0.100345974,Comedy
"Michael D. Roberts",2,0.100345974,Comedy
"Erik Stolhanske",2,0.100345974,Comedy
"Niecy Nash",2,0.100345974,Comedy
"Michael Keaton",2,0.100345974,Comedy
"Anjelica Huston",2,0.100345974,Comedy
"Cloris Leachman",2,0.100345974,Comedy
"Dan Aykroyd",2,0.098615871,Comedy
"Leslie Mann",2,0.098615871,Comedy
"Joe Viterelli",2,0.098615871,Comedy
"Allen Covert",2,0.098615871,Comedy
"Rich Cooper",2,0.098615871,Comedy
"Will Arnett",2,0.098615871,Comedy
"Petr Ratimec",2,0.098615871,Comedy
"Phil Hartman",2,0.098615871,Comedy
"Eric Bana",2,0.098615871,Comedy
"Max Thieriot",2,0.098615871,Comedy
"Barbora Lukesová",2,0.098615871,Comedy
"Glenne Headly",2,0.098615871,Comedy
"Liam Neeson",2,0.098615871,Comedy
"Anna Rust",2,0.098615871,Comedy
"Jason Drucker",2,0.098615871,Comedy
"Jeremy Robson",2,0.098615871,Comedy
"Charlie Wright",2,0.098615871,Comedy
"John Turturro",2,0.098615871,Comedy
"Craig Gellis",2,0.098615871,Comedy
"Antony Acker",2,0.096885768,Comedy
Mo'Nique,2,0.096885768,Comedy
"Eugene Levy",2,0.096885768,Comedy
"Mark Barrett",2,0.096885768,Comedy
"Ana de la Reguera",2,0.096885768,Comedy
"Michael J. Fox",2,0.096885768,Comedy
"Joan Plowright",2,0.096885768,Comedy
"Richard Bellos",2,0.096885768,Comedy
"Héctor Jiménez",2,0.096885768,Comedy
"Neve Campbell",2,0.096885768,Comedy
"Geena Davis",2,0.096885768,Comedy
"Suzanne Bianqui",2,0.096885768,Comedy
"Darius Rose",2,0.096885768,Comedy
"Dylan McDermott",2,0.096885768,Comedy
"Hugh Laurie",2,0.096885768,Comedy
"Oliver Platt",2,0.096885768,Comedy
"Jonathan Lipnicki",2,0.096885768,Comedy
"Danny Glover",2,0.096885768,Comedy
"Jackie Chan",2,0.095155665,Comedy
"Jeremy Northam",2,0.095155665,Comedy
"Greta Gerwig",2,0.095155665,Comedy
"Jason Isaacs",2,0.095155665,Comedy
"Carrie MacLemore",2,0.095155665,Comedy
"Debi Mazar",2,0.095155665,Comedy
"Megalyn Echikunwoke",2,0.095155665,Comedy
"Bernie Mac",2,0.095155665,Comedy
"Nick Searcy",2,0.095155665,Comedy
"Robert Downey Jr.",2,0.095155665,Comedy
"Robin Wright",2,0.095155665,Comedy
"Mary Stein",2,0.093425562,Comedy
"Carter Jenkins",2,0.093425562,Comedy
"Mickey Rooney",2,0.093425562,Comedy
"Forest Whitaker",2,0.093425562,Comedy
"Sally Field",2,0.093425562,Comedy
"Austin Butler",2,0.093425562,Comedy
"Carlos Mencia",2,0.093425562,Comedy
"Ashley Tisdale",2,0.093425562,Comedy
"Jennifer Coolidge",2,0.093425562,Comedy
"Ashley Boettcher",2,0.093425562,Comedy
"Magda Szubanski",2,0.093425562,Comedy
"James Cromwell",2,0.093425562,Comedy
"Patti D'Arbanville",2,0.09169545899999999,Comedy
