director,AVG(rating),sumprofit,nummovies
"Keith Gordon",5.5,-14950506,2
"Ken Kwapis",6.4,564214628,4
"Ken Shapiro",5.3,32948624,2
"Ken Wiederhorn",5.8,6011848,2
"Kenneth Lonergan",7.5,138467734,2
"Kevin Allen",5.1000000000000005,16218498,6
"Kevin Donovan",5.5,266577750,6
"Kevin Munroe",5.9,244384072,4
"Kevin Smith",6.9,135795460,4
"Kevin Tenney",5.9,10738746,2
"Kim Farrant",5.2,-39355612,4
"Kimberly Peirce",6.2,-27541930,2
"Kris Isacsson",5,44141240,4
"Kurt Wimmer",7,-58616524,4
"Laurie Collyer",6.5,-2480992,2
"Lawrence Guterman",5.2,281400000,2
"Lawrence Kasdan",6.6,-151792000,4
"Les Mayfield",4.6,-47459904,4
"Leslie Small, Tim Story",6.6,27182086,2
"Lexi Alexander",5.7,-49684932,2
"Louis Leterrier",5.7,1472859552,4
"Luc Besson",6.2,84314164,4
"M. Night Shyamalan",7.2,3881491872,8
"Malcolm D. Lee",6.8,225772706,2
"Marcos Siega",5.1,-77380892,4
"Marcus Raboy",6.1,47053670,2
"Marielle Heller",6.9,7009548,4
"Mark Brown",6.5,18782900,2
"Mark L. Lester",6.1,273740,2
"Mark Sandrich",7.7,5186000,2
"Martin Scorsese",7.125000000000001,741283048,8
"Matt Reeves",6.7,16540798,2
"Matthew Bright",6.5,-16227042,6
"Matthew Hastings",4.9,-9806480,2
"Max Nichols",6.5,-1463838,2
"Mel Brooks",7.3,233800000,2
"Michael Apted",7.2,104365574,2
"Michael Bay",6.3999999999999995,1146175856,8
"Michael Caton-Jones",6.1000000000000005,561009476,8
"Michael Lehmann",6,61077666,2
"Michael Mann",7.124999999999999,432600554,8
"Michaël R. Roskam",6.7,12909068,2
"Mickey Liddell",4.3,20636514,2
"Mike McCoy, Scott Waugh",6.3,281988140,4
"Milos Forman",7.2,-18369460,4
"Mimi Leder",6.366666666666666,89476692,6
"Miranda July",7.2,30461856,4
"Nancy Meyers",6.65,858590894,4
"Neil Burger",6.3,-54932132,4
"Neil Jordan",5.5,-71930524,4
"Neil Marshall",5.8,-45515248,4
"Nelson McCormick",5.7,18455122,2
"Nicholas Jarecki",6.2,95322852,4
"Nicole Holofcener",6.7,70485796,4
"Norman Jewison",7.8,89630588,4
"Oliver Stone",7.433333333333334,516747366,6
"P.J. Hogan",7.1,-9489030,2
"Pablo Larraín",6.4,55177024,2
"Patty Jenkins",7.2,118481626,2
"Paul Feig",6.5,514264046,2
"Paul Greengrass",7.3500000000000005,3240267120,12
"Penelope Spheeris",6.6,326194646,2
"Penny Marshall",6.1,-31654202,2
"Peter Berg",6.550000000000001,1012370084,4
"Peter Faiman",6.3,1277614024,4
"Peter Farrelly",8.3,1199934720,4
"Peter Lepeniotis",5.7,370119864,4
"Peter Lord, Nick Park",6.6,371587830,2
"Peter Segal",6.4,438234020,4
"Peter Weir",7.5,757848548,6
"Philip Kaufman",5.3,-79041216,8
"Rawson Marshall Thurber",6.2,275583408,2
"Rebecca Miller",6.4,-747484,2
"Renny Harlin",5.8,-293930712,4
"Richard Attenborough",7.2,49600000,2
"Richard Lester",6.6000000000000005,18000000,6
"Rick Famuyiwa",5.4,14821092,2
"Ridley Scott",6.3,-166624200,6
"Risa Bramon Garcia",5.9,3409800,4
"Rob Minkoff",6,480301080,8
"Rob Pritts",4.2,56464412,4
"Rob Reiner",7.1,519229780,4
"Robert Ben Garant",5.8,71108172,6
"Robert Benton",6.1,-9889818,2
"Robert Luketic",6.5,334597814,2
"Robert Redford",7.6,92605956,2
"Robert Rossen",7.8,11200000,2
"Roland Emmerich",7,421200000,4
"Ron Howard",7.7,240923356,4
"Ron Maxwell",6.9,-28536006,2
RZA,5.3,14037976,2
"Sam Mendes",6.8,-43567936,4
"Sam Peckinpah",7.1,5132216,4
"Sam Weisman",5.2,13468972,2
"Sanaa Hamri",6.2,103620786,6
"Scott Marshall",4.4,-16925042,2
"Sean Anders",7.6,286944752,4
"Sean Baker",7.4,18590648,2
"Sean McNamara",7,58317304,2
"Shane Carruth",6.9,3339704,4
"Sharon Maguire",6.7,1026108632,4
"Sidney Lumet",5.8,-4000000,2
"Simon Curtis",6.7,48481144,2
"Simon West",5.6,104430870,2
"Spike Lee",6.666666666666667,79304088,12
"Stephen Hopkins",5.95,79223478,4
"Stephen Kay",4.8,188771436,4
"Steve Boyum",4.1,-39287748,2
"Steve Miner",5,-72000000,4
"Steve Oedekerk",6.5,237564366,6
"Steve Pink",6,74891720,2
"Steven Brill",5.7,242539070,2
"Steven Caple Jr.",6.7,327183044,2
"Steven Soderbergh",7,641200000,4
"Steven Spielberg",6.933333333333334,1097050350,6
"Stewart Raffill",5.8,16301560,4
"Stuart Baird",6.1000000000000005,536633536,8
"Sydney Pollack",5.4,-1600000,2
"Ted Kotcheff",7.3,667277424,6
"Terry Gilliam",6.342857142857144,173668522,14
"Thomas Bezucha",6.3,78747076,4
"Thomas Carter",6.6,30277824,2
"Thor Freudenthal",5.95,298622966,4
"Tim McCanlies",7.1,71610264,4
"Tim Story",6.5,-34965224,4
"Todd Field",7.2,484708,4
"Todd Solondz",7.5,10985812,4
"Tom Brady",4.2,-14941210,2
"Tom McLoughlin",5.9,32944114,2
"Tom Schulman",5.1,2005768,2
"Tom Tykwer, Lana Wachowski, Lilly Wachowski",6.8,57346308,2
"Tony Bill",6.3999999999999995,-271101726,6
"Walter Murch",6.6,-32762374,2
"Walter Salles",5.4,-42107628,4
"Wayne Wang",6.6000000000000005,-9940518,6
"Whit Stillman",5.5,-3351402,2
"William Friedkin",7.6,155835028,4
"William Phillips",6.3,-10757958,2
"William Shatner",5.7,241200000,6
"Woody Allen",6.7,80427366,6
"Yash Chopra",7,-6786668,2
"Yorgos Lanthimos",7.6,316300776,4
