actor,nummovies,Wavgprofit,Wavgrating,GenreName
"Faye Daveney",2,33506.529368649,0.131487828,Comedy
"Mark Wahlberg",2,33500.394423411,0.131487828,Comedy
"Olivia Colman",2,33506.529368649,0.131487828,Comedy
"Rose Byrne",2,33500.394423411,0.131487828,Comedy
"Rachel Weisz",2,33506.529368649,0.131487828,Comedy
"Isabela Moner",2,33500.394423411,0.131487828,Comedy
"Emma Delves",2,33506.529368649,0.131487828,Comedy
"Gustavo Escobar",2,33500.394423411,0.131487828,Comedy
"Jane Adams",2,-438.662425341,0.129757725,Comedy
"Jon Lovitz",2,-438.662425341,0.129757725,Comedy
"Philip Seymour Hoffman",2,-438.662425341,0.129757725,Comedy
"Kiersey Clemons",2,668.259204162,0.128027622,Comedy
"Blythe Danner",2,668.259204162,0.128027622,Comedy
"Toni Collette",2,668.259204162,0.128027622,Comedy
"Nick Offerman",2,668.259204162,0.128027622,Comedy
"Harvey Korman",2,202249.04069999998,0.126297519,Comedy
"Cleavon Little",2,202249.04069999998,0.126297519,Comedy
"Gene Wilder",2,202249.04069999998,0.126297519,Comedy
"Slim Pickens",2,202249.04069999998,0.126297519,Comedy
"Jennifer Jason Leigh",2,-64331.253758646,0.124567416,Comedy
"Greyson Erik Pendry",2,-30137.295644595,0.124567416,Comedy
"Benicio Del Toro",2,-13528.929681675,0.124567416,Comedy
"Brandon Ratcliff",2,3261.475988802,0.124567416,Comedy
"Paul Newman",2,-64331.253758646,0.124567416,Comedy
"Brittany Colonna",2,-30137.295644595,0.124567416,Comedy
"Tobey Maguire",2,-13528.929681675,0.124567416,Comedy
"Jennifer Connelly",2,-14769.856439043,0.124567416,Comedy
"John Hawkes",2,3261.475988802,0.124567416,Comedy
"Michael Lee Gogin",2,-13528.929681675,0.124567416,Comedy
"Patrick Wilson",2,-14769.856439043,0.124567416,Comedy
"Jim Carrey",2,-30137.295644595,0.124567416,Comedy
"Miranda July",2,3261.475988802,0.124567416,Comedy
"Jackie Earle Haley",2,-14769.856439043,0.124567416,Comedy
"Gerry Becker",2,-30137.295644595,0.124567416,Comedy
"Johnny Depp",2,-13528.929681675,0.124567416,Comedy
"Miles Thompson",2,3261.475988802,0.124567416,Comedy
"Beverly Todd",2,83852.040509706,0.122837313,Comedy
"Haley Joel Osment",2,20883.967776717,0.122837313,Comedy
"David Warner",2,-375.338925438,0.122837313,Comedy
"Mary Gregory",2,28278.064677087,0.122837313,Comedy
"Kyra Sedgwick",2,20883.967776717,0.122837313,Comedy
"Strother Martin",2,-375.338925438,0.122837313,Comedy
"Jack Nicholson",2,83852.040509706,0.122837313,Comedy
"Morgan Freeman",2,83852.040509706,0.122837313,Comedy
"Michael Caine",2,20883.967776717,0.122837313,Comedy
"Jason Robards",2,-375.338925438,0.122837313,Comedy
"Sean Hayes",2,83852.040509706,0.122837313,Comedy
"Robert Duvall",2,20883.967776717,0.122837313,Comedy
"Stella Stevens",2,-375.338925438,0.122837313,Comedy
"John Beck",2,28278.064677087,0.122837313,Comedy
"Ellen Page",2,236150.867462295,0.12110720999999999,Comedy
"Cameron Diaz",2,-37577.83716,0.12110720999999999,Comedy
"Michael Cera",2,236150.867462295,0.12110720999999999,Comedy
"Jennifer Garner",2,236150.867462295,0.12110720999999999,Comedy
"Jude Law",2,-37577.83716,0.12110720999999999,Comedy
"Jason Bateman",2,236150.867462295,0.12110720999999999,Comedy
"Giordano Formenti",2,39848.516032659,0.119377107,Comedy
"Jared Pfennigwerth",2,35729.087156466,0.119377107,Comedy
"Richard E. Grant",2,-2069.436751905,0.119377107,Comedy
"Basil Harris",2,5641.791488571,0.119377107,Comedy
"Kitao Sakurai",2,35729.087156466,0.119377107,Comedy
"Dolly Wells",2,-2069.436751905,0.119377107,Comedy
"Mary Lynn Rajskub",2,5641.791488571,0.119377107,Comedy
"Amanda Seyfried",2,39848.516032659,0.119377107,Comedy
"Ben Falcone",2,-2069.436751905,0.119377107,Comedy
"Marcia DeBonis",2,39848.516032659,0.119377107,Comedy
"Bud Cort",2,35729.087156466,0.119377107,Comedy
"Aubrey Plaza",2,5641.791488571,0.119377107,Comedy
"Gael García Bernal",2,39848.516032659,0.119377107,Comedy
"Barret Hackney",2,35729.087156466,0.119377107,Comedy
"Lauren Carlos",2,5641.791488571,0.119377107,Comedy
"Ellen Greene",2,15133.877030655,0.117647004,Comedy
"Dustin Hoffman",2,85907.958236769,0.117647004,Comedy
"Jada Pinkett Smith",2,150706.703127045,0.117647004,Comedy
"Brandon Bernard Benton",2,7215.503557989,0.117647004,Comedy
"John Krasinski",2,-19979.322869562,0.117647004,Comedy
"Vincent Gardenia",2,15133.877030655,0.117647004,Comedy
"Barbra Streisand",2,-1267.354080693,0.117647004,Comedy
"Robin Williams",2,85907.958236769,0.117647004,Comedy
"Tiffany Haddish",2,150706.703127045,0.117647004,Comedy
"Adam Boyer",2,7215.503557989,0.117647004,Comedy
"Carmen Ejogo",2,-19979.322869562,0.117647004,Comedy
"Jeff Bridges",2,-1267.354080693,0.117647004,Comedy
"Julia Roberts",2,85907.958236769,0.117647004,Comedy
"Levi Stubbs",2,15133.877030655,0.117647004,Comedy
"Lauren Bacall",2,-1267.354080693,0.117647004,Comedy
"Greg Andrews",2,7215.503557989,0.117647004,Comedy
"Rick Moranis",2,15133.877030655,0.117647004,Comedy
"George Segal",2,-1267.354080693,0.117647004,Comedy
Monica,2,7215.503557989,0.117647004,Comedy
"Tommy Redmond Hicks",2,12045.845597706,0.115916901,Comedy
"Renée Zellweger",2,80450.751437268,0.115916901,Comedy
"Rodney Dangerfield",2,58557.661293432,0.115916901,Comedy
"Julia Louis-Dreyfus",2,16523.992299816,0.115916901,Comedy
"John Canada Terrell",2,12045.845597706,0.115916901,Comedy
"Gemma Jones",2,80450.751437268,0.115916901,Comedy
"Ted Knight",2,58557.661293432,0.115916901,Comedy
"Celia Imrie",2,80450.751437268,0.115916901,Comedy
"Michael O'Keefe",2,58557.661293432,0.115916901,Comedy
"Jessica St. Clair",2,16523.992299816,0.115916901,Comedy
"James Faulkner",2,80450.751437268,0.115916901,Comedy
"Christopher Nicholas Smith",2,16523.992299816,0.115916901,Comedy
"Tracy Camilla Johns",2,12045.845597706,0.115916901,Comedy
"Tony Haygarth",2,112100.146723245,0.11418679799999999,Comedy
"Timothy Hutton",2,-11418.747274017,0.11418679799999999,Comedy
"Ricki Lake",2,-8855.817672494999,0.11418679799999999,Comedy
"Halle Berry",2,23513.904267429,0.11418679799999999,Comedy
"Matthew Lillard",2,-8855.817672494999,0.11418679799999999,Comedy
"Ed Helms",2,23513.904267429,0.11418679799999999,Comedy
"Dana Carvey",2,175946.843614269,0.11418679799999999,Comedy
"Phil Daniels",2,112100.146723245,0.11418679799999999,Comedy
"Rob Lowe",2,175946.843614269,0.11418679799999999,Comedy
"Lynn Ferguson",2,112100.146723245,0.11418679799999999,Comedy
"LL Cool J",2,-11418.747274017,0.11418679799999999,Comedy
"Sam Waterston",2,-8855.817672494999,0.11418679799999999,Comedy
"Tia Carrere",2,175946.843614269,0.11418679799999999,Comedy
"Mitchel Musso",2,-2316.59061597,0.112456695,Comedy
"Carolyn Saxon",2,-1269.2744950229999,0.112456695,Comedy
"Miles Teller",2,-2741.1751932,0.112456695,Comedy
"Jessie T. Usher",2,-15123.359734518,0.112456695,Comedy
"Tyler Perry",2,77692.603933638,0.112456695,Comedy
"Denzel Washington",2,10645.323758999999,0.112456695,Comedy
"Vivica A. Fox",2,15979.060027803,0.112456695,Comedy
"Nicole Kidman",2,-22749.889052526,0.112456695,Comedy
"Tom Yi",2,236525.353446954,0.112456695,Comedy
"Paul Perri",2,-4679.075674221,0.112456695,Comedy
"Michael York",2,62082.997020867,0.112456695,Comedy
"Tim Meadows",2,-28863.047103447,0.112456695,Comedy
"Tracey Ullman",2,-1269.2744950229999,0.112456695,Comedy
"Jessica Szohr",2,-2741.1751932,0.112456695,Comedy
"Gerard Butler",2,88088.564487042,0.112456695,Comedy
"Richard Roundtree",2,-15123.359734518,0.112456695,Comedy
"Shemar Moore",2,77692.603933638,0.112456695,Comedy
"Morris Chestnut",2,15979.060027803,0.112456695,Comedy
"Stockard Channing",2,-22749.889052526,0.112456695,Comedy
"Mimi Rogers",2,62082.997020867,0.112456695,Comedy
"Conner Rayburn",2,-28863.047103447,0.112456695,Comedy
"Laurence Fishburne",2,14785.190341932,0.112456695,Comedy
"Michael Rapaport",2,-1269.2744950229999,0.112456695,Comedy
"Kid Cudi",2,-2741.1751932,0.112456695,Comedy
"Bree Turner",2,88088.564487042,0.112456695,Comedy
"John C. McGinley",2,33702.473914017,0.112456695,Comedy
"Wesley Snipes",2,10645.323758999999,0.112456695,Comedy
"Ryan Whitney Newman",2,-2316.59061597,0.112456695,Comedy
"Dianne Wiest",2,-22749.889052526,0.112456695,Comedy
"Tisha Campbell-Martin",2,14785.190341932,0.112456695,Comedy
"Eric Winter",2,88088.564487042,0.112456695,Comedy
"Kiefer Sutherland",2,-4679.075674221,0.112456695,Comedy
"Nat Faxon",2,-28863.047103447,0.112456695,Comedy
"Steve Buscemi",2,-2316.59061597,0.112456695,Comedy
"Samuel L. Jackson",2,-15123.359734518,0.112456695,Comedy
Kyme,2,14785.190341932,0.112456695,Comedy
"Steve Harris",2,77692.603933638,0.112456695,Comedy
"Bokeem Woodbine",2,-4679.075674221,0.112456695,Comedy
"Elizabeth Hurley",2,62082.997020867,0.112456695,Comedy
"John C. Reilly",2,-28863.047103447,0.112456695,Comedy
"Lee Marvin",2,6771.623142,0.110726592,Comedy
"Morgan Lily",2,93345.376916259,0.110726592,Comedy
"Devon Bostick",2,60032.039499105,0.110726592,Comedy
"Sissy Spacek",2,-14509.30119714,0.110726592,Comedy
"Joseph Badalucco Jr.",2,-11474.693614728,0.110726592,Comedy
"Will Smith",2,14776.58480961,0.110726592,Comedy
"John Fiedler",2,44191.019199363,0.110726592,Comedy
"Elizabeth Allen",2,6771.623142,0.110726592,Comedy
"Trenton Rogers",2,93345.376916259,0.110726592,Comedy
"Jordi Mollà",2,14776.58480961,0.110726592,Comedy
"Jack Warden",2,6771.623142,0.110726592,Comedy
"Greg Kinnear",2,-11474.693614728,0.110726592,Comedy
"Michelle Carmichael",2,93345.376916259,0.110726592,Comedy
"Jim Cummings",2,44191.019199363,0.110726592,Comedy
Nelly,2,131694.50610438,0.110726592,Comedy
"Rosanna Arquette",2,57547.537196676,0.110726592,Comedy
"Jordan Carlos",2,-11474.693614728,0.110726592,Comedy
"Jasmine Woods",2,93345.376916259,0.110726592,Comedy
"Nikita Hopkins",2,44191.019199363,0.110726592,Comedy
"John Wayne",2,6771.623142,0.110726592,Comedy
"Chazz Palminteri",2,133020.107562774,0.110726592,Comedy
"Christopher Walken",2,-14509.30119714,0.110726592,Comedy
"Michael Clarke Duncan",2,57547.537196676,0.110726592,Comedy
"Dequina Moore",2,-11474.693614728,0.110726592,Comedy
"Ken Sansom",2,44191.019199363,0.110726592,Comedy
"Leighton Meester",2,5513.438607207,0.108996489,Comedy
"Linda Kozlowski",2,287203.163741118,0.108996489,Comedy
"Cory Monteith",2,5513.438607207,0.108996489,Comedy
"John Meillon",2,287203.163741118,0.108996489,Comedy
"Andy Samberg",2,-19137.824991804,0.108996489,Comedy
"Helen Hunt",2,203814.996717669,0.108996489,Comedy
"Rachel McAdams",2,-23759.561592399,0.108996489,Comedy
"David Gulpilil",2,287203.163741118,0.108996489,Comedy
"Selena Gomez",2,5513.438607207,0.108996489,Comedy
"Jorma Taccone",2,-19137.824991804,0.108996489,Comedy
"Marisa Tomei",2,203814.996717669,0.108996489,Comedy
"Michael Peña",2,-23759.561592399,0.108996489,Comedy
"Katie Cassidy",2,5513.438607207,0.108996489,Comedy
"Bill Hader",2,-19137.824991804,0.108996489,Comedy
"Alan Alda",2,203814.996717669,0.108996489,Comedy
"Paul Hogan",2,287203.163741118,0.108996489,Comedy
"Molly Hagan",2,-23759.561592399,0.108996489,Comedy
"Emily Mortimer",2,8111.387223552,0.107266386,Comedy
"Salma Hayek",2,-49605.284842404,0.107266386,Comedy
"Kathryn Alexander",2,-819.091313805,0.107266386,Comedy
"Suraj Sharma",2,32960.270107635,0.107266386,Comedy
"Chauncey Leopardi",2,78422.444423982,0.107266386,Comedy
"Lily Tomlin",2,8111.387223552,0.107266386,Comedy
"Blake Lively",2,29567.397986292,0.107266386,Comedy
"Michelle Pfeiffer",2,11970.255667533,0.107266386,Comedy
"Woody Harrelson",2,-49605.284842404,0.107266386,Comedy
"Tina Fey",2,-20617.059596598,0.107266386,Comedy
"Teodorina Bello",2,-819.091313805,0.107266386,Comedy
"Spencer Vrooman",2,78422.444423982,0.107266386,Comedy
"Jay Baruchel",2,120190.604890806,0.107266386,Comedy
"Dianna Agron",2,11970.255667533,0.107266386,Comedy
"Jessica Rothe",2,32960.270107635,0.107266386,Comedy
"Margot Robbie",2,-20617.059596598,0.107266386,Comedy
"Owen Wilson",2,29709.76124175,0.107266386,Comedy
"Kate Blumberg",2,-819.091313805,0.107266386,Comedy
"Amber Tamblyn",2,29567.397986292,0.107266386,Comedy
"Malachi Pearson",2,78422.444423982,0.107266386,Comedy
"John D'Leo",2,11970.255667533,0.107266386,Comedy
"Israel Broussard",2,32960.270107635,0.107266386,Comedy
"Martin Freeman",2,-20617.059596598,0.107266386,Comedy
"Will Ferrell",2,29709.76124175,0.107266386,Comedy
"Spencer Breslin",2,8111.387223552,0.107266386,Comedy
"Jonah Bobo",2,-819.091313805,0.107266386,Comedy
"Alexis Bledel",2,29567.397986292,0.107266386,Comedy
"Cathy Moriarty",2,78422.444423982,0.107266386,Comedy
"Pierce Brosnan",2,-49605.284842404,0.107266386,Comedy
"Phi Vu",2,32960.270107635,0.107266386,Comedy
"Jonah Hill",2,120190.604890806,0.107266386,Comedy
"Rip Torn",2,145893.938933808,0.107266386,Comedy
"Don 'D.C.' Curry",2,40231.138691727,0.105536283,Comedy
"Gena Rowlands",2,52093.942852239,0.105536283,Comedy
"Candice Bergen",2,101325.724408488,0.105536283,Comedy
"Kate Hudson",2,49680.78999753,0.105536283,Comedy
"Gregory Hines",2,-27382.514921403,0.105536283,Comedy
"Drew Barrymore",2,-52505.165844,0.105536283,Comedy
"Mae Whitman",2,52093.942852239,0.105536283,Comedy
"Mary Steenburgen",2,101325.724408488,0.105536283,Comedy
"Ice Cube",2,40231.138691727,0.105536283,Comedy
"Anne Hathaway",2,49680.78999753,0.105536283,Comedy
"James Remar",2,-27382.514921403,0.105536283,Comedy
"Eileen Essell",2,-52505.165844,0.105536283,Comedy
"Bryan Greenberg",2,49680.78999753,0.105536283,Comedy
"Ed Begley Jr.",2,-27382.514921403,0.105536283,Comedy
"Harvey Fierstein",2,-52505.165844,0.105536283,Comedy
"John Witherspoon",2,40231.138691727,0.105536283,Comedy
"Chris Pratt",2,49680.78999753,0.105536283,Comedy
"Harry Connick Jr.",2,52093.942852239,0.105536283,Comedy
"Jane Fonda",2,101325.724408488,0.105536283,Comedy
"Dom DeLuise",2,85123.899778611,0.10380618,Comedy
"Mandy Moore",2,6356.46762612,0.10380618,Comedy
"Jennifer Lopez",2,4307.968580721,0.10380618,Comedy
"Hilary Duff",2,47983.463798865,0.10380618,Comedy
"Gabriel Macht",2,6356.46762612,0.10380618,Comedy
"Alex O'Loughlin",2,4307.968580721,0.10380618,Comedy
"Adam Lamberg",2,47983.463798865,0.10380618,Comedy
"Michael Ealy",2,61656.864001452,0.10380618,Comedy
"Michaela Watkins",2,4307.968580721,0.10380618,Comedy
"Hallie Todd",2,47983.463798865,0.10380618,Comedy
"Joy Bryant",2,61656.864001452,0.10380618,Comedy
"Dolly Parton",2,85123.899778611,0.10380618,Comedy
"Eric Christian Olsen",2,4307.968580721,0.10380618,Comedy
"Robert Carradine",2,47983.463798865,0.10380618,Comedy
"Steve Zahn",2,84781.318623375,0.10380618,Comedy
"Chris Evans",2,33129.911897093996,0.102076077,Comedy
"Josh Brener",2,59882.157216009,0.102076077,Comedy
"Jennifer Albano",2,1474.8263023499999,0.102076077,Comedy
"Jake T. Austin",2,66052.818700341,0.102076077,Comedy
"Ralph Fiennes",2,13979.621513175,0.102076077,Comedy
"Ray Liotta",2,4038.101924472,0.102076077,Comedy
"Arnold Schwarzenegger",2,113248.542381864,0.102076077,Comedy
"Sarah Michelle Gellar",2,33129.911897093996,0.102076077,Comedy
"Kellan Lutz",2,59882.157216009,0.102076077,Comedy
"Jenni Blong",2,1474.8263023499999,0.102076077,Comedy
"Jason Lee",2,4038.101924472,0.102076077,Comedy
"Pamela Reed",2,113248.542381864,0.102076077,Comedy
JoJo,2,11414.081186226,0.102076077,Comedy
Mako,2,33129.911897093996,0.102076077,Comedy
"Josh Brolin",2,13979.621513175,0.102076077,Comedy
"Johnny Simmons",2,66052.818700341,0.102076077,Comedy
"Linda Hunt",2,113248.542381864,0.102076077,Comedy
"Taraji P. Henson",2,59882.157216009,0.102076077,Comedy
"Ben Affleck",2,1474.8263023499999,0.102076077,Comedy
"Sara Paxton",2,11414.081186226,0.102076077,Comedy
"Kevin Smith",2,33129.911897093996,0.102076077,Comedy
"George Clooney",2,13979.621513175,0.102076077,Comedy
"Sigourney Weaver",2,4038.101924472,0.102076077,Comedy
"Kristen Ledlow",2,59882.157216009,0.102076077,Comedy
"Casey Affleck",2,1474.8263023499999,0.102076077,Comedy
"Jake McDorman",2,11414.081186226,0.102076077,Comedy
"Alden Ehrenreich",2,13979.621513175,0.102076077,Comedy
"Robert Ben Garant",2,17893.003772583,0.100345974,Comedy
Amerie,2,-36236.990033969996,0.100345974,Comedy
"Michael D. Roberts",2,7050.84446517,0.100345974,Comedy
"Cloris Leachman",2,2915.541893952,0.100345974,Comedy
"Niecy Nash",2,17893.003772583,0.100345974,Comedy
"Michael Keaton",2,-36236.990033969996,0.100345974,Comedy
"Anjelica Huston",2,7050.84446517,0.100345974,Comedy
"M.C. Gainey",2,2915.541893952,0.100345974,Comedy
"Katie Holmes",2,-36236.990033969996,0.100345974,Comedy
"Robert Urich",2,7050.84446517,0.100345974,Comedy
"Paul Soter",2,2915.541893952,0.100345974,Comedy
"Marc Blucas",2,-36236.990033969996,0.100345974,Comedy
"Mary Crosby",2,7050.84446517,0.100345974,Comedy
"Erik Stolhanske",2,2915.541893952,0.100345974,Comedy
"Dan Aykroyd",2,-14953.991301333,0.098615871,Comedy
"Eric Bana",2,-35717.898580365,0.098615871,Comedy
"Charlie Wright",2,-2182.137391428,0.098615871,Comedy
"Petr Ratimec",2,-72837.962597286,0.098615871,Comedy
"Phil Hartman",2,-14953.991301333,0.098615871,Comedy
"John Turturro",2,131995.530185556,0.098615871,Comedy
"Craig Gellis",2,9662.080272555,0.098615871,Comedy
"Will Arnett",2,59258.688648414,0.098615871,Comedy
"Barbora Lukesová",2,-72837.962597286,0.098615871,Comedy
"Glenne Headly",2,-14953.991301333,0.098615871,Comedy
"Joe Viterelli",2,-48231.380638353,0.098615871,Comedy
"Allen Covert",2,131995.530185556,0.098615871,Comedy
"Rich Cooper",2,9662.080272555,0.098615871,Comedy
"Anna Rust",2,-72837.962597286,0.098615871,Comedy
"Jason Drucker",2,-2182.137391428,0.098615871,Comedy
"Max Thieriot",2,9662.080272555,0.098615871,Comedy
"Liam Neeson",2,59258.688648414,0.098615871,Comedy
"Leslie Mann",2,-35717.898580365,0.098615871,Comedy
"Jeremy Robson",2,-72837.962597286,0.098615871,Comedy
"Antony Acker",2,45462.643174259996,0.096885768,Comedy
"Ana de la Reguera",2,83387.492283279,0.096885768,Comedy
"Michael J. Fox",2,-95230.395068982,0.096885768,Comedy
"Mark Barrett",2,45462.643174259996,0.096885768,Comedy
"Héctor Jiménez",2,83387.492283279,0.096885768,Comedy
"Neve Campbell",2,-16314.222501375,0.096885768,Comedy
"Geena Davis",2,-95230.395068982,0.096885768,Comedy
"Richard Bellos",2,45462.643174259996,0.096885768,Comedy
"Danny Glover",2,43365.351764055,0.096885768,Comedy
"Darius Rose",2,83387.492283279,0.096885768,Comedy
"Dylan McDermott",2,-16314.222501375,0.096885768,Comedy
"Hugh Laurie",2,-95230.395068982,0.096885768,Comedy
"Suzanne Bianqui",2,45462.643174259996,0.096885768,Comedy
Mo'Nique,2,43365.351764055,0.096885768,Comedy
"Eugene Levy",2,194940.051026406,0.096885768,Comedy
"Jonathan Lipnicki",2,-95230.395068982,0.096885768,Comedy
"Oliver Platt",2,-16314.222501375,0.096885768,Comedy
"Joan Plowright",2,194940.051026406,0.096885768,Comedy
"Robert Downey Jr.",2,-13258.720465032,0.095155665,Comedy
"Debi Mazar",2,-16287.189642,0.095155665,Comedy
"Bernie Mac",2,4477.901027484,0.095155665,Comedy
"Robin Wright",2,-13258.720465032,0.095155665,Comedy
"Greta Gerwig",2,-3447.169673895,0.095155665,Comedy
"Nick Searcy",2,4477.901027484,0.095155665,Comedy
"Jeremy Northam",2,-13258.720465032,0.095155665,Comedy
"Carrie MacLemore",2,-3447.169673895,0.095155665,Comedy
"Jackie Chan",2,-16287.189642,0.095155665,Comedy
"Megalyn Echikunwoke",2,-3447.169673895,0.095155665,Comedy
"Jason Isaacs",2,-16287.189642,0.095155665,Comedy
"Carter Jenkins",2,-34255.326597564,0.093425562,Comedy
"James Cromwell",2,-106712.99525442,0.093425562,Comedy
"Austin Butler",2,-34255.326597564,0.093425562,Comedy
"Mary Stein",2,-106712.99525442,0.093425562,Comedy
"Forest Whitaker",2,10822.280423943,0.093425562,Comedy
"Sally Field",2,113562.383066064,0.093425562,Comedy
"Ashley Tisdale",2,-34255.326597564,0.093425562,Comedy
"Mickey Rooney",2,-106712.99525442,0.093425562,Comedy
"Carlos Mencia",2,10822.280423943,0.093425562,Comedy
"Ashley Boettcher",2,-34255.326597564,0.093425562,Comedy
"Jennifer Coolidge",2,113562.383066064,0.093425562,Comedy
"Magda Szubanski",2,-106712.99525442,0.093425562,Comedy
"Rasmus Hardiker",2,-49141.075716164996,0.09169545899999999,Comedy
"Patti D'Arbanville",2,28502.256614136,0.09169545899999999,Comedy
"Natalie Portman",2,-49141.075716164996,0.09169545899999999,Comedy
"Dabney Coleman",2,28502.256614136,0.09169545899999999,Comedy
"Mary Kay Place",2,28502.256614136,0.09169545899999999,Comedy
"Jeff Goldblum",2,57742.448870553,0.089965356,Comedy
"Susan Sarandon",2,111635.643479496,0.089965356,Comedy
"Scott Terra",2,9921.251432058,0.089965356,Comedy
"Elizabeth Perkins",2,57742.448870553,0.089965356,Comedy
"Kathy Bates",2,111635.643479496,0.089965356,Comedy
"Alexander Pollock",2,57742.448870553,0.089965356,Comedy
"David Spade",2,9921.251432058,0.089965356,Comedy
"Allison Janney",2,111635.643479496,0.089965356,Comedy
"Miriam Margolyes",2,57742.448870553,0.089965356,Comedy
"Mary McCormack",2,9921.251432058,0.089965356,Comedy
"Craig Bierko",2,9921.251432058,0.089965356,Comedy
"Kristy Swanson",2,1043.051417052,0.088235253,Comedy
"Matt Damon",2,-75346.411255338,0.088235253,Comedy
"Lance Henriksen",2,-4325.2575,0.088235253,Comedy
"Bart McCarthy",2,-33469.228347969,0.088235253,Comedy
"Cynthia Stevenson",2,-4300.608722559,0.088235253,Comedy
"George Hamilton",2,1043.051417052,0.088235253,Comedy
