actor,nummovies,Wavgprofit,Wavgrating,GenreName
"Giancarlo Esposito",8,-45675.008896185,0.45155707875,Comedy
"Adam Sandler",8,-142871.656256325,0.39446365499999997,Comedy
"Tim Robbins",6,-192993.835642902,0.3460207333333334,Comedy
"Regina Hall",6,-45370.096686166005,0.33391000766666673,Comedy
"Diane Keaton",6,303977.290358056,0.33217990399999997,Comedy
"Queen Latifah",6,452120.283598165,0.32871969666666667,Comedy
"Don Cheadle",6,198158.53245811703,0.3235293856666667,Comedy
"Gabrielle Union",6,44329.771510570004,0.32006917833333337,Comedy
"Ben Stiller",6,437681.98545489606,0.32006917833333337,Comedy
"Mel Gibson",6,611445.225763253,0.31833907466666667,Comedy
"Robert De Niro",6,35910.780840221,0.3166089710000001,Comedy
"Emma Roberts",6,198158.53245811703,0.30276814166666666,Comedy
"Jack Black",6,-112733.55492000001,0.2975778306666667,Comedy
"Brendan Fraser",6,177776.13444831801,0.27335637933333334,Comedy
"Kate Winslet",4,-75155.69604,0.245674697,Comedy
"Woody Allen",4,56556.145698903,0.235294076,Comedy
"Viggo Mortensen",4,214810.242255397,0.23183386900000005,Comedy
"Catherine O'Hara",4,-4633.18257093,0.2301037655,Comedy
"Maya Rudolph",4,473050.84360562597,0.2301037655,Comedy
"Spike Lee",4,21290.653671,0.22837366199999998,Comedy
"Charles Durning",4,-128662.544700774,0.22837366199999998,Comedy
"Mike Myers",4,124166.02992572299,0.22664355849999998,Comedy
"Dylan Baker",4,-877.325104229,0.22491345499999998,Comedy
"Martin Lawrence",4,29553.17816009,0.2231833515,Comedy
"Sandra Bullock",4,-45499.791254494,0.21799304100000003,Comedy
"Kevin Hart",4,47027.822125900995,0.217993041,Comedy
"Bruce Willis",4,115095.107655844,0.217993041,Comedy
"Lennie Loftin",4,33047.994150504,0.2162629375,Comedy
"Burt Reynolds",4,263389.08832822,0.214532834,Comedy
"Christine Taylor",4,291787.962194352,0.214532834,Comedy
"Zachary Gordon",4,169562.686250375,0.21453283399999998,Comedy
"Robert Capron",4,169562.686250375,0.21453283399999998,Comedy
"Rachael Harris",4,169562.686250375,0.21453283399999998,Comedy
"Katherine Heigl",4,118517.411548366,0.21107262699999998,Comedy
"Billy Crystal",4,-96462.789154457,0.20934252350000002,Comedy
"Lisa Kudrow",4,-96462.789154457,0.20934252350000002,Comedy
"Kimberly Elise",4,155385.252773622,0.20934252350000002,Comedy
"Alicia Silverstone",4,-29018.610780659998,0.2093425235,Comedy
"Melissa McCarthy",4,-4138.8746999449995,0.2093425235,Comedy
"Matthew Perry",4,115095.107655844,0.20761242,Comedy
"Analeigh Tipton",4,-5482.351970799999,0.20761242,Comedy
"Chevy Chase",4,117115.356433208,0.20761242,Comedy
"Chris Rock",4,263389.08832822,0.2058823165,Comedy
"Seth Rogen",4,240381.279251814,0.2058823165,Comedy
"Reese Witherspoon",4,227124.83177121598,0.2058823165,Comedy
"Danny DeVito",4,-54765.045669907,0.2058823165,Comedy
"Tom Everett Scott",4,-4364.276044132,0.2024221095,Comedy
"America Ferrera",4,59134.813062548,0.200692006,Comedy
"Kristen Wiig",4,473050.84360562597,0.200692006,Comedy
"Danny McBride",4,-38275.661045276,0.20069200599999998,Comedy
"Anthony Anderson",4,-8601.219930871,0.20069200599999998,Comedy
"Terry Crews",4,473050.84360562597,0.19896190249999998,Comedy
"James Franco",4,240381.279251814,0.19896190249999998,Comedy
"Jennifer Love Hewitt",4,8076.206182968,0.19723179899999999,Comedy
"Vince Vaughn",4,291787.962194352,0.1955016955,Comedy
"Steve Martin",4,-29907.991246077,0.1955016955,Comedy
"Bob Hoskins",4,171815.966128361,0.18858128149999998,Comedy
"Regina King",4,227124.83177121598,0.186851178,Comedy
"Winona Ryder",4,263991.13666456396,0.18512107449999998,Comedy
"Mike Epps",4,80462.300637063,0.179930764,Comedy
"Penelope Ann Miller",4,-34579.848550646,0.1782006605,Comedy
"Kathleen Turner",4,-17711.640463655,0.17820066049999997,Comedy
"Alfred Molina",4,-41234.131109862,0.17128024649999998,Comedy
"Cedric the Entertainer",4,-41055.273010032,0.159169522,Comedy
"Linda Cardellini",2,107405.090087613,0.143598549,Comedy
"Sebastian Maniscalco",2,107405.090087613,0.143598549,Comedy
"Mahershala Ali",2,107405.090087613,0.143598549,Comedy
"Ginger Rogers",2,2029.410819,0.133217931,Comedy
"Edward Everett Horton",2,2029.410819,0.133217931,Comedy
"Erik Rhodes",2,2029.410819,0.133217931,Comedy
"Fred Astaire",2,2029.410819,0.133217931,Comedy
